transaction_id,customer_id,transaction_date,total_amount,quantity,num_products,promotion_used
T7,1,2023-01-02,71.81,2,4,1
T1,1,2023-01-07,563.12,6,3,0
T11,1,2023-01-12,50.0,6,4,0
T4,1,2023-01-24,1095.53,2,2,0
T9,1,2023-01-27,1102.9,1,4,0
T6,1,2023-02-26,203.52,4,5,1
T2,1,2023-02-27,3612.15,2,1,0
T8,1,2023-03-13,2413.48,2,2,1
T10,1,2023-04-02,1477.5,3,5,1
T12,1,2023-04-07,4204.27,1,5,1
T5,1,2023-05-24,203.55,2,5,1
T3,1,2023-06-01,1580.09,4,1,0
T22,2,2023-01-09,180.28,3,4,1
T23,2,2023-01-17,414.62,2,5,1
T29,2,2023-01-24,1077.01,1,1,0
T40,2,2023-01-29,696.11,3,3,0
T26,2,2023-02-05,1845.52,2,5,1
T38,2,2023-02-09,123.33,3,2,0
T24,2,2023-02-24,547.53,6,4,1
T15,2,2023-03-01,240.81,1,4,1
T36,2,2023-03-09,1982.8,5,2,0
T28,2,2023-04-03,866.43,2,2,1
T17,2,2023-04-05,435.3,3,2,1
T31,2,2023-04-09,1122.4,4,5,1
T35,2,2023-04-22,4044.76,2,4,0
T16,2,2023-04-27,243.13,6,3,0
T20,2,2023-04-29,413.07,4,3,0
T32,2,2023-05-16,224.35,3,5,0
T19,2,2023-05-17,678.64,6,2,0
T13,2,2023-05-28,2143.72,2,1,0
T27,2,2023-05-30,267.28,4,5,1
T39,2,2023-06-03,1383.3,3,4,0
T30,2,2023-06-10,57.08,2,4,0
T37,2,2023-06-10,435.95,3,5,0
T25,2,2023-06-14,730.72,4,2,1
T34,2,2023-06-14,3568.43,3,1,1
T14,2,2023-06-19,286.43,2,3,0
T33,2,2023-06-24,80.72,6,1,1
T21,2,2023-06-25,1135.65,3,1,0
T18,2,2023-06-29,892.71,6,1,0
T43,3,2023-02-02,50.0,6,4,0
T45,3,2023-02-24,359.35,5,2,1
T48,3,2023-02-27,880.93,1,3,0
T41,3,2023-03-03,156.18,5,1,0
T44,3,2023-03-09,2880.51,5,5,1
T46,3,2023-04-13,1303.51,6,3,1
T42,3,2023-05-05,820.26,1,5,0
T47,3,2023-05-13,448.26,4,1,0
T69,4,2023-01-15,92.97,5,5,0
T65,4,2023-01-16,395.76,2,4,0
T51,4,2023-01-18,4191.37,1,3,0
T50,4,2023-01-19,245.27,6,1,0
T80,4,2023-01-19,147.78,5,2,1
T63,4,2023-01-24,2117.47,2,2,1
T55,4,2023-01-25,1093.27,1,4,1
T74,4,2023-01-31,2027.88,5,2,0
T81,4,2023-02-03,2386.24,3,1,0
T85,4,2023-02-04,446.99,3,1,0
T60,4,2023-02-05,472.24,4,2,1
T68,4,2023-02-09,1944.58,2,3,0
T53,4,2023-02-24,3366.11,5,2,1
T49,4,2023-02-28,949.47,5,2,0
T54,4,2023-03-04,2702.58,4,4,0
T59,4,2023-03-05,55.54,2,2,1
T76,4,2023-03-08,1566.8,2,3,0
T77,4,2023-03-09,1770.26,4,2,1
T70,4,2023-03-22,5200.98,1,1,1
T82,4,2023-04-05,1171.56,3,2,1
T66,4,2023-04-10,938.89,3,4,1
T58,4,2023-04-14,261.76,6,3,0
T56,4,2023-04-19,3059.32,4,4,0
T67,4,2023-04-19,182.28,6,5,1
T78,4,2023-04-28,92.32,3,1,0
T79,4,2023-04-28,532.67,5,5,0
T61,4,2023-04-29,590.56,2,1,1
T64,4,2023-05-05,529.47,4,2,1
T71,4,2023-05-09,1775.38,5,2,0
T72,4,2023-05-11,265.85,1,2,0
T52,4,2023-05-12,1790.69,2,3,1
T83,4,2023-05-20,482.18,6,3,0
T62,4,2023-05-21,379.87,1,1,0
T86,4,2023-05-22,471.98,2,3,1
T73,4,2023-06-02,50.0,1,2,1
T87,4,2023-06-04,1569.45,2,3,0
T75,4,2023-06-08,1472.52,1,4,1
T84,4,2023-06-20,78.8,5,3,0
T57,4,2023-06-22,111.19,6,1,0
T88,4,2023-06-25,1217.87,6,3,1
T100,5,2023-01-07,137.0,2,3,1
T103,5,2023-01-10,452.88,4,2,0
T90,5,2023-01-12,766.88,1,3,0
T89,5,2023-01-14,2618.7,1,4,1
T93,5,2023-01-29,1716.47,1,2,0
T109,5,2023-01-30,311.77,3,2,1
T102,5,2023-02-10,1214.08,6,1,1
T105,5,2023-02-27,2857.52,1,2,1
T99,5,2023-03-02,50.0,2,2,1
T106,5,2023-03-26,344.09,3,1,1
T107,5,2023-03-31,633.94,6,5,1
T96,5,2023-04-04,816.98,1,3,0
T94,5,2023-04-05,988.66,5,5,0
T95,5,2023-04-21,1768.67,2,1,1
